,Resort,Country,HighestPoint,LowestPoint,DayPassPriceAdult,BeginnerSlope,IntermediateSlope,DifficultSlope,TotalSlope,Snowparks,NightSki,SurfaceLifts,ChairLifts,GondolaLifts,TotalLifts,LiftCapacity,SnowCannons
49,Chamrousse,France,2250.0,1400.0,34.0,45.0,35,10.0,90,Yes,Yes,8.0,7,1.0,16,24398.0,78.0
50,Valberg-​Beuil les Launes,France,2020.0,1412.0,32.0,45.0,35,10.0,90,Yes,No,,7,0.0,29,25940.0,400.0
51,Adelboden-​Lenk-Chuenisbärgli-​Silleren-​Hahnenmoos-​Metsch,Switzerland,1260.0,1072.0,55.0,44.0,38,6.0,88,Yes,Yes,12.0,8,6.0,26,34620.0,500.0
52,Rinderberg-​Saanerslochgrat-​Horneggli-Zweisimmen-​Saanenmöser-​Schönried-​St. Stephan,Switzerland,2011.0,948.0,54.0,62.0,21,4.0,88,Yes,Yes,9.0,8,4.0,21,18360.0,0.0
53,Graukogel-Bad Gastein,Austria,2007.0,1079.0,36.0,3.0,6,2.0,11,No,No,1.0,2,0.0,3,3352.0,0.0
54,Les Portes du Mont-Blanc-Combloux-​Megève le Jaillet-​La Giettaz,France,1835.0,1113.0,35.0,28.0,50,7.0,85,No,No,16.0,8,1.0,25,29842.0,0.0
55,Le Grand Bornand,France,2100.0,1000.0,37.0,49.0,27,8.0,84,Yes,Yes,18.0,13,2.0,33,36904.0,233.0
56,Kaltenbach-Hochzillertal-​Hochfügen-SKi-optimal-,Austria,2378.0,600.0,52.0,28.0,41,13.0,83,Yes,Yes,22.0,12,5.0,39,59933.0,400.0
57,Grimentz-​Zinal,Switzerland,2900.0,1570.0,51.0,26.0,28,26.0,80,Yes,No,13.0,5,3.0,21,19345.0,96.0
58,Civetta-Alleghe-​Selva di Cadore-​Palafavera-​Zoldo,Italy,2100.0,1000.0,43.0,30.0,44,6.0,80,Yes,Yes,10.0,10,3.0,23,33289.0,100.0
59,Ax les Thermes,France,1400.0,720.0,37.0,40.0,25,15.0,80,Yes,No,11.0,6,2.0,19,21320.0,0.0
60,Damüls Mellau,Austria,2050.0,690.0,49.0,37.0,39,1.0,79,Yes,No,10.0,13,2.0,25,37160.0,130.0
61,Zell am See,Austria,2000.0,760.0,50.0,30.0,28,19.0,77,Yes,Yes,9.0,10,8.0,27,48407.0,450.0
62,Cerler,Spain,2621.0,1505.0,42.0,35.0,27,14.0,76,Yes,No,10.0,9,0.0,19,20670.0,0.0
63,Three Peaks Dolomites-Helm-​Stiergarten-​Rotwand-​Kreuzbergpass,Italy,2200.0,1130.0,51.0,17.0,39,18.0,75,Yes,No,20.0,4,6.0,30,21535.0,250.0
64,Puy St. Vincent,France,2677.0,1407.0,34.0,28.0,34,13.0,75,Yes,Yes,4.0,8,0.0,12,17155.0,95.0
65,Folgaria-​Fiorentini,Italy,1850.0,1200.0,40.0,36.0,32,5.0,74,Yes,No,13.0,17,0.0,30,35900.0,280.0
66,Titlis-Engelberg,Switzerland,3020.0,1000.0,57.0,34.0,26,12.0,72,Yes,No,7.0,6,7.0,20,23316.0,180.0
67,Trysil,Norway,1100.0,415.0,46.0,33.0,18,20.0,71,Yes,Yes,29.0,7,0.0,36,36182.0,418.0
68,Nauders am Reschenpass-Bergkastel,Austria,2850.0,1400.0,42.0,24.0,34,13.0,71,Yes,No,11.0,5,1.0,17,17651.0,92.0
69,Grossarltal-​Dorfgastein,Austria,2033.0,850.0,50.0,25.0,43,1.0,70,Yes,No,7.0,8,5.0,20,29710.0,0.0
70,Katschberg,Austria,2220.0,1066.0,46.0,10.0,50,10.0,70,Yes,Yes,9.0,6,2.0,17,26458.0,750.0
71,Valfréjus,France,2737.0,1550.0,29.0,40.0,20,10.0,70,Yes,No,5.0,4,1.0,10,15800.0,80.0
72,Savognin,Switzerland,2713.0,1200.0,50.0,32.0,38,0.0,70,Yes,Yes,10.0,2,1.0,13,14000.0,100.0
73,Scuol-Motta Naluns,Switzerland,2785.0,1250.0,50.0,27.0,32,11.0,70,Yes,No,6.0,6,1.0,13,18000.0,136.0
74,Passo San Pellegrino-​Falcade,Italy,2513.0,1190.0,47.0,20.0,38,8.0,67,Yes,No,6.0,9,2.0,17,24030.0,0.0
75,Piau Engaly,France,2560.0,1420.0,37.0,35.0,22,8.0,65,Yes,No,5.0,5,0.0,10,13615.0,40.0
76,Flumserberg,Switzerland,665.0,425.0,51.0,10.0,38,17.0,65,Yes,Yes,9.0,8,4.0,21,,0.0
77,Super Sauze,France,2450.0,1400.0,30.0,35.0,20,10.0,65,Yes,No,18.0,4,0.0,22,17948.0,100.0
78,Bukovel,Ukraine,1372.0,890.0,32.0,26.0,28,11.0,65,Yes,Yes,3.0,15,0.0,18,33839.0,0.0
79,La Norma,France,2750.0,1350.0,29.0,17.0,43,5.0,65,Yes,No,7.0,5,1.0,13,,126.0
80,Pal-​Arinsal-La Massana-Vallnord-,Andorra,1550.0,1230.0,37.0,31.0,24,8.0,63,Yes,No,15.0,12,4.0,31,37400.0,296.0
81,Arabba,Italy,2478.0,1602.0,49.0,32.0,22,8.0,62,Yes,No,3.0,16,4.0,23,43973.0,620.0
82,Wildkogel-Neukirchen-​Bramberg,Austria,2150.0,820.0,44.0,28.0,25,9.0,62,Yes,Yes,15.0,4,5.0,24,27388.0,335.0
83,Hintertux Glacier,Austria,3250.0,1500.0,52.0,14.0,35,11.0,60,Yes,No,10.0,6,6.0,22,38852.0,260.0
84,Disentis 3000,Switzerland,2833.0,1227.0,49.0,20.0,30,10.0,60,Yes,No,9.0,3,1.0,13,10990.0,4.0
85,Belalp-Blatten,Switzerland,3118.0,1322.0,49.0,20.0,20,20.0,60,Yes,No,8.0,3,2.0,13,13640.0,0.0
86,San Martino di Castrozza,Italy,2357.0,1404.0,44.0,16.0,32,12.0,60,Yes,Yes,7.0,14,3.0,24,29859.0,150.0
87,Meiringen-Hasliberg,Switzerland,1055.0,600.0,50.0,20.0,34,6.0,60,No,Yes,6.0,4,5.0,15,16381.0,75.0
88,Toggenburg-Wildhaus-​Unterwasser-​Alt St. Johann,Switzerland,2262.0,900.0,52.0,10.0,45,5.0,60,Yes,Yes,18.0,3,4.0,25,19956.0,55.0
89,Alpe di Siusi-Seiser Alm-,Italy,1669.0,1000.0,54.0,14.0,45,1.0,60,Yes,No,9.0,15,3.0,27,35624.0,70.0
90,Le Lioran,France,1850.0,1160.0,31.0,30.0,20,10.0,60,Yes,Yes,13.0,8,1.0,22,25195.0,241.0
91,Saint Luc-​Chandolin-Anniviers-,Switzerland,3025.0,1655.0,47.0,20.0,30,10.0,60,Yes,No,11.0,3,1.0,15,10350.0,104.0
92,Les Karellis,France,2520.0,1600.0,,26.0,25,9.0,60,Yes,No,10.0,6,0.0,16,17452.0,98.0
93,Peyragudes,France,2400.0,1600.0,40.0,30.0,26,4.0,60,Yes,No,8.0,9,0.0,17,22791.0,230.0
94,Leysin,Switzerland,2205.0,1250.0,45.0,43.0,15,2.0,60,Yes,No,8.0,7,1.0,16,12980.0,72.0
95,Ponte di Legno-Passo ​Tonale-​Presena Glacier-​Temù-Pontedilegno-Tonale-,Italy,3016.0,1121.0,42.0,10.0,40,9.0,59,Yes,Yes,7.0,19,4.0,30,49825.0,0.0
96,Eggli-​La Videmanette-Gstaad-​Saanen-​Rougemont,Switzerland,2151.0,992.0,54.0,35.0,17,5.0,58,No,No,8.0,4,5.0,17,15363.0,0.0
97,Anzère,Switzerland,2420.0,1500.0,46.0,12.0,37,9.0,58,Yes,No,10.0,3,1.0,14,12462.0,120.0
98,Borovets,Bulgaria,2560.0,1300.0,28.0,24.0,29,5.0,58,Yes,Yes,8.0,4,2.0,14,15800.0,160.0
99,Font-Romeu-​Bolquère Pyrénées 2000,France,2213.0,1650.0,38.0,30.0,19,9.0,58,Yes,No,15.0,8,1.0,24,27378.0,535.0
100,Oppdal,Norway,1300.0,585.0,44.0,40.0,7,9.0,56,No,No,1.0,0,0.0,1,0.0,0.0
101,Brévent-​Flégère-Chamonix-,France,2525.0,1030.0,51.0,11.0,25,20.0,56,Yes,No,6.0,8,5.0,19,26734.0,0.0
102,Les Houches-​Saint-Gervais-Prarion-​Bellevue-Chamonix-,France,1000.0,584.0,43.0,25.0,25,5.0,55,Yes,No,5.0,8,3.0,16,19859.0,133.0
103,Ylläs,Finland,718.0,200.0,42.0,21.0,28,6.0,55,Yes,Yes,27.0,1,1.0,29,28284.0,36.0
104,Belvedere-​Col Rodella-​Ciampac-​Buffaure-Canazei-​Campitello-​Alba-​Pozza di Fassa,Italy,2428.0,1320.0,48.0,7.0,40,7.0,55,Yes,Yes,11.0,18,10.0,39,56216.0,0.0
105,Lauchernalp-Lötschental,Switzerland,3111.0,1419.0,48.0,20.0,17,18.0,55,Yes,No,2.0,2,,6,6800.0,28.0
106,Grossglockner Heiligenblut,Austria,2989.0,1301.0,44.0,20.0,34,1.0,55,No,No,8.0,1,4.0,13,12500.0,60.0
107,Brandnertal-Brand-​Bürserberg,Austria,2000.0,904.0,46.0,22.0,30,3.0,55,Yes,Yes,6.0,6,3.0,15,18963.0,82.0
108,Alpe du Grand-Serre-La Morte,France,2184.0,1367.0,27.0,36.0,17,2.0,55,Yes,No,12.0,3,0.0,15,13486.0,0.0
109,Les Angles,France,2376.0,1600.0,38.0,22.0,23,10.0,55,Yes,Yes,15.0,4,1.0,20,21787.0,363.0
110,Kopaonik,Serbia,2017.0,1057.0,30.0,30.0,19,6.0,55,Yes,Yes,14.0,13,0.0,27,35052.0,315.0
111,Aussois,France,2750.0,1500.0,29.0,30.0,22,3.0,55,Yes,No,4.0,4,0.0,8,9228.0,130.0
112,First-Grindelwald,Switzerland,2501.0,1050.0,55.0,30.0,15,8.0,53,Yes,No,3.0,3,3.0,9,12720.0,38.0
113,Sörenberg-Rothorn-​Dorf,Switzerland,2350.0,1110.0,44.0,30.0,15,8.0,53,Yes,Yes,12.0,3,2.0,17,20930.0,0.0
114,Riserva Bianca-Limone Piemonte,Italy,2060.0,1046.0,34.0,11.0,35,5.0,52,No,No,5.0,11,1.0,17,20655.0,0.0
115,Gitschberg Jochtal,Italy,1354.0,772.0,46.0,17.0,25,9.0,51,Yes,No,14.0,4,6.0,24,23617.0,90.0
116,Schilthorn-Mürren-​Lauterbrunnen,Switzerland,2970.0,796.0,55.0,19.0,23,9.0,51,Yes,No,3.0,7,6.0,16,13852.0,38.0
117,Pila,Italy,1540.0,570.0,,8.0,35,6.0,50,Yes,No,5.0,8,4.0,17,22154.0,480.0
118,Brigels-​Waltensburg-​Andiast,Switzerland,2418.0,1110.0,49.0,13.0,33,3.0,50,Yes,Yes,9.0,4,0.0,13,10030.0,100.0
119,Aprica,Italy,2270.0,1162.0,38.0,28.0,14,7.0,50,Yes,No,,4,2.0,16,,0.0
120,Bormio-Cima Bianca,Italy,3012.0,1225.0,40.0,14.0,34,2.0,50,Yes,Yes,8.0,5,2.0,15,17630.0,240.0
121,Sedrun-Oberalp,Switzerland,2300.0,1500.0,53.0,10.0,35,5.0,50,Yes,No,7.0,5,0.0,12,12100.0,0.0
122,Grosseck-​Speiereck-Mauterndorf-​St. Michael,Austria,,1095.0,41.0,26.0,17,7.0,50,No,Yes,6.0,4,2.0,12,14286.0,150.0
123,Hirmentaz-​Les Habères-Bellevaux-​Habère-Poche,France,1610.0,923.0,24.0,30.0,17,3.0,50,Yes,No,27.0,6,0.0,33,,0.0
124,Pragelato,Italy,2700.0,1335.0,0.0,14.0,32,4.0,50,No,No,4.0,1,0.0,5,3660.0,0.0
125,Porté Puymorens,France,2471.0,1600.0,30.0,21.0,20,9.0,50,Yes,No,5.0,4,0.0,9,7380.0,70.0
126,Mythenregion,Switzerland,1070.0,573.0,39.0,18.0,31,1.0,50,Yes,No,11.0,0,,15,12592.0,55.0
127,Candanchú,Spain,2236.0,1514.0,41.0,15.0,18,15.0,50,No,No,19.0,6,0.0,25,19650.0,0.0
128,Zugspitze,Germany,2000.0,700.0,45.0,7.0,13,0.0,20,No,No,4.0,2,4.0,10,13150.0,0.0
129,Lindvallen-​Högfjället-Sälen-,Sweden,887.0,579.0,41.0,22.0,17,3.0,42,Yes,Yes,49.0,4,0.0,53,50505.0,0.0
130,Jasná Nízke Tatry-Chopok,Slovakia,2004.0,943.0,39.0,19.0,17,7.0,44,Yes,Yes,19.0,8,5.0,32,35225.0,527.0
131,Tandådalen-​Hundfjället-Sälen-,Sweden,872.0,572.0,41.0,18.0,15,12.0,45,Yes,Yes,42.0,4,0.0,46,42636.0,0.0
132,Sheregesh-Kemerovo,Siberia,1270.0,670.0,0.0,0.0,0,0.0,0,No,No,3.0,5,4.0,12,19919.0,0.0
133,Gazprom Mountain Resort-Laura-– Esto-Sadok-Sotschi-,Southern Russia,949.0,547.0,32.0,7.0,10,2.0,20,No,Yes,6.0,6,6.0,18,27874.0,0.0
134,Steinplatte-​Winklmoosalm-Waidring-​Reit im Winkl,Austria,1860.0,740.0,46.0,18.0,22,2.0,42,Yes,No,3.0,9,2.0,14,31940.0,107.0
135,Rigi,Switzerland,1315.0,439.0,44.0,4.0,4,0.0,9,No,No,4.0,0,3.0,7,6500.0,0.0
136,Métabief,France,1420.0,1000.0,26.0,19.0,18,2.0,40,No,No,20.0,8,0.0,28,24745.0,0.0
137,Latemar-Obereggen-​Pampeago-​Predazzo,Italy,1540.0,1050.0,47.0,9.0,32,7.0,48,Yes,Yes,6.0,13,3.0,22,36540.0,200.0
138,Mariborsko Pohorje-Maribor,Slovenia,1327.0,325.0,31.0,23.0,13,5.0,41,No,Yes,16.0,5,1.0,22,23436.0,92.0
139,Praz de Lys-​Sommand-Taninges-​Mieussy-,France,1966.0,1240.0,29.0,22.0,16,6.0,45,Yes,No,18.0,6,0.0,24,26205.0,60.0
140,Espace Dôle-La Dôle-​Les Tuffes,France,1678.0,1137.0,27.0,17.0,8,2.0,28,Yes,No,18.0,3,0.0,21,19380.0,0.0
141,Kreischberg,Austria,2118.0,868.0,44.0,17.0,16,9.0,42,Yes,No,7.0,4,3.0,14,18808.0,110.0
142,Garmisch-Classic-Garmisch-Partenkirchen,Germany,2050.0,732.0,43.0,12.0,18,10.0,40,Yes,No,11.0,4,4.0,19,21090.0,0.0
143,Aiguille du Midi-Chamonix-,France,3842.0,1035.0,60.0,0.0,0,0.0,0,No,No,0.0,0,5.0,5,4820.0,0.0
144,Carezza Ski,Italy,2337.0,1200.0,41.0,21.0,14,3.0,40,Yes,No,13.0,5,2.0,20,19200.0,175.0
145,Pizol-Bad Ragaz-​Wangs,Switzerland,510.0,490.0,51.0,14.0,21,8.0,43,Yes,Yes,5.0,4,2.0,11,12786.0,62.0
146,SuperBesse-Puy de Sancy,France,1850.0,1300.0,32.0,30.0,9,4.0,43,Yes,Yes,16.0,5,1.0,22,21245.0,299.0
147,Stöten,Sweden,830.0,443.0,41.0,26.0,3,3.0,32,No,No,17.0,2,0.0,19,19250.0,0.0
148,Fellhorn-​Kanzelwand-Oberstdorf-​Riezlern,Austria,1967.0,920.0,45.0,13.0,19,2.0,34,Yes,Yes,7.0,6,4.0,17,22076.0,110.0
149,Idre Fjäll,Sweden,890.0,588.0,40.0,17.0,22,2.0,41,Yes,Yes,21.0,4,0.0,25,24760.0,0.0
150,Großglockner Resort Kals-Matrei,Austria,2422.0,933.0,47.0,8.0,22,6.0,37,Yes,No,9.0,5,3.0,17,18276.0,0.0
151,Pamporovo,Bulgaria,,1620.0,28.0,17.0,6,5.0,29,Yes,Yes,6.0,7,0.0,13,14266.0,130.0
152,Abetone-​Val di Luce,Italy,1892.0,1240.0,30.0,14.0,28,1.0,44,Yes,No,6.0,10,1.0,17,24056.0,110.0
153,Gerlitzen,Austria,1000.0,520.0,45.0,10.0,27,3.0,41,Yes,No,10.0,7,1.0,18,22220.0,120.0
154,Paganella-Andalo,Italy,2125.0,1030.0,40.0,9.0,22,1.0,33,Yes,Yes,4.0,12,2.0,18,23996.0,0.0
155,Melchsee-Frutt-Kerns-,Switzerland,2255.0,1080.0,44.0,20.0,6,10.0,36,Yes,Yes,5.0,4,2.0,11,14150.0,110.0
156,Vall de Núria,Spain,1964.0,912.0,30.0,4.0,2,1.0,7,No,No,3.0,1,2.0,6,4840.0,0.0
157,Arêches-Beaufort-,France,2300.0,1050.0,29.0,15.0,20,15.0,50,Yes,No,9.0,5,0.0,14,14462.0,45.0
158,Špindlerův Mlýn,Czech Republic,1235.0,702.0,34.0,8.0,13,2.0,24,Yes,Yes,17.0,6,0.0,23,21638.0,0.0
159,Les Mosses-​La Lécherette,Switzerland,1870.0,1445.0,31.0,10.0,30,0.0,40,No,No,14.0,0,0.0,14,10540.0,0.0
160,Cimone-Montecreto-​Sestola-​Le Polle,Italy,1976.0,900.0,35.0,15.0,25,10.0,50,Yes,No,6.0,13,1.0,20,23746.0,0.0
161,Luchon Superbagnères,France,1440.0,635.0,34.0,16.0,10,6.0,32,Yes,No,7.0,5,1.0,13,15965.0,180.0
162,Lélex-​Crozet,France,900.0,640.0,28.0,16.0,7,4.0,28,Yes,No,15.0,2,2.0,19,16750.0,120.0
163,Alpika Service,Southern Russia,2228.0,535.0,0.0,10.0,10,5.0,25,No,No,1.0,1,7.0,9,18120.0,0.0
164,Sinaia,Romania,880.0,834.0,32.0,3.0,11,4.0,20,No,No,2.0,3,4.0,9,9864.0,0.0
165,Gourette-Eaux Bonnes-,France,2450.0,1350.0,38.0,18.0,13,4.0,35,Yes,No,4.0,5,3.0,12,19660.0,158.0
166,Rauriser Hochalmbahnen-Rauris,Austria,2175.0,940.0,43.0,15.0,12,5.0,32,Yes,No,6.0,1,3.0,10,11927.0,35.0
167,Hoch-Ybrig-Unteriberg-​Oberiberg,Switzerland,1850.0,1035.0,46.0,15.0,30,5.0,50,Yes,No,8.0,5,1.0,14,16650.0,0.0
168,Meran 2000,Italy,1609.0,648.0,39.0,12.0,25,3.0,40,Yes,No,3.0,5,2.0,10,9478.0,0.0
169,Nätschen-Andermatt,Switzerland,2344.0,1444.0,44.0,8.0,5,8.0,21,No,No,1.0,4,2.0,7,13600.0,0.0
170,Albiez-Montrond,France,2200.0,1500.0,25.0,25.0,7,3.0,35,No,No,8.0,5,0.0,13,10432.0,0.0
171,Tarvisio-Monte Lussari,Italy,1752.0,754.0,35.0,9.0,11,5.0,25,Yes,Yes,5.0,8,2.0,15,17354.0,0.0
172,Mount Parnassos-Fterolakka-​Kellaria,Greece,2300.0,1600.0,,18.0,15,3.0,36,No,No,9.0,3,5.0,17,20052.0,0.0
173,Moelltal Glacier-Mölltaler Gletscher-,Austria,2108.0,1222.0,47.0,5.0,7,4.0,17,Yes,No,2.0,5,2.0,9,15610.0,45.0
174,Wendelstein-Brannenburg-​Osterhofen,Germany,1723.0,791.0,35.0,0.0,7,4.0,11,No,No,2.0,0,2.0,4,3250.0,0.0
175,Glenshee,United Kingdom,900.0,650.0,33.0,24.0,10,2.0,36,No,No,18.0,3,0.0,21,16255.0,6.0
176,Sulden am Ortler-Solda all'Ortles-,Italy,3250.0,1900.0,41.0,17.0,13,14.0,44,Yes,Yes,4.0,6,3.0,13,15418.0,0.0
177,Poiana Brașov,Romania,1799.0,1021.0,32.0,5.0,2,5.0,13,No,Yes,5.0,2,3.0,10,11038.0,145.0
178,Hinterstoder-Höss,Austria,2000.0,600.0,44.0,12.0,18,10.0,40,Yes,No,15.0,2,2.0,19,18464.0,267.0
179,St. Jean Montclar,France,2500.0,1350.0,28.0,25.0,20,5.0,50,No,No,10.0,4,0.0,14,13320.0,0.0
180,Port del Comte,Spain,2310.0,1745.0,33.0,20.0,15,5.0,40,No,No,11.0,5,0.0,16,13750.0,0.0
181,Tänndalen,Sweden,1038.0,743.0,41.0,20.0,15,3.0,38,No,No,15.0,2,0.0,17,19270.0,0.0
182,Feldberg-Seebuck-​Grafenmatt-​Fahl,Germany,1448.0,888.0,35.0,7.0,14,5.0,26,Yes,No,9.0,5,0.0,14,17624.0,0.0
183,Pitztal Glacier-Pitztaler Gletscher-,Austria,2685.0,1740.0,48.0,3.0,16,0.0,20,Yes,No,3.0,1,3.0,7,10935.0,0.0
184,Tauplitz-Bad Mitterndorf,Austria,896.0,812.0,41.0,18.0,18,6.0,42,No,No,14.0,4,1.0,19,18525.0,135.0
185,Hochoetz-Oetz,Austria,1410.0,820.0,37.0,12.0,21,3.0,36,Yes,No,7.0,6,2.0,15,17422.0,89.0
186,Rosshütte-Seefeld,Austria,2064.0,1230.0,44.0,10.0,9,1.0,20,Yes,Yes,8.0,3,2.0,13,12363.0,208.0
187,Malbun,Liechtenstein,2000.0,1600.0,,11.0,9,3.0,23,Yes,No,6.0,3,0.0,9,8800.0,16.0
188,Špičák,Czech Republic,1202.0,854.0,23.0,3.0,3,0.0,8,Yes,Yes,11.0,1,0.0,12,7390.0,30.0
189,Riesneralm-Donnersbachwald,Austria,1820.0,950.0,40.0,15.0,12,3.0,30,No,No,5.0,3,,8,6880.0,137.0
190,Berwang-​Bichlbach-​Rinnen,Austria,1743.0,1067.0,42.0,24.0,10,1.0,36,No,Yes,11.0,3,1.0,15,15623.0,130.0
191,Glungezer-Tulfes,Austria,2304.0,950.0,30.0,7.0,15,0.0,23,Yes,No,6.0,2,0.0,8,7116.0,2.0
192,Fanningberg,Austria,2115.0,1497.0,41.0,11.0,5,7.0,24,Yes,No,4.0,2,0.0,6,7162.0,36.0
193,Turracher Höhe,Austria,2205.0,1400.0,45.0,14.0,24,3.0,42,Yes,Yes,12.0,5,1.0,18,18268.0,220.0
194,Indoor ski area Snow Arena-Druskininkai,Lithuania,163.0,97.0,29.0,1.0,0,0.0,1,Yes,Yes,4.0,1,0.0,5,2800.0,16.0
195,Niedere-Andelsbuch-​Bezau,Austria,1715.0,655.0,31.0,5.0,4,1.0,10,No,No,5.0,2,1.0,8,6043.0,2.0
196,Wurzeralm-Spital am Pyhrn,Austria,1870.0,810.0,41.0,10.0,10,2.0,22,No,No,5.0,2,1.0,8,9048.0,57.0
197,Präbichl-Vordernberg,Austria,1608.0,1100.0,37.0,6.0,11,3.0,20,Yes,No,4.0,2,0.0,6,6624.0,90.0
198,Pfelders-Moos in Passeier-,Italy,2502.0,1601.0,33.0,5.0,9,4.0,18,Yes,Yes,4.0,1,1.0,6,4300.0,35.0
